Cycle: 18  gp33 Y4F  98 nM_X	Cycle: 18  gp33 Y4F  98 nM_Y	Cycle: 19  gp33 Y4F  195 nM_X	Cycle: 19  gp33 Y4F  195 nM_Y	Cycle: 20  gp33 Y4F  390 nM_X	Cycle: 20  gp33 Y4F  390 nM_Y	Cycle: 21  gp33 Y4F  390 nM_X	Cycle: 21  gp33 Y4F  390 nM_Y	Cycle: 22  gp33 Y4F  780 nM_X	Cycle: 22  gp33 Y4F  780 nM_Y	Cycle: 23  gp33 Y4F  1560 nM_X	Cycle: 23  gp33 Y4F  1560 nM_Y	Cycle: 24  gp33 Y4F  3125 nM_X	Cycle: 24  gp33 Y4F  3125 nM_Y	Cycle: 25  gp33 Y4F  3125 nM_X	Cycle: 25  gp33 Y4F  3125 nM_Y	Cycle: 26  gp33 Y4F  6250 nM_X	Cycle: 26  gp33 Y4F  6250 nM_Y	Cycle: 27  gp33 Y4F  12500 nM_X	Cycle: 27  gp33 Y4F  12500 nM_Y	Cycle: 28  gp33 Y4F  25000 nM_X	Cycle: 28  gp33 Y4F  25000 nM_Y	Cycle: 29  gp33 Y4F  25000 nM_X	Cycle: 29  gp33 Y4F  25000 nM_Y	Cycle: 30  gp33 Y4F  50000 nM_X	Cycle: 30  gp33 Y4F  50000 nM_Y	Cycle: 31  gp33 Y4F  100000 nM_X	Cycle: 31  gp33 Y4F  100000 nM_Y
-55,46	-0,0384674	-55,36	0,344502	-55,46	0,498489	-55,36	0,109944	-55,46	-0,347794	-55,36	0,0273938	-55,36	0,0574231	-55,36	-0,0435596	-55,36	-0,0715442	-55,36	-0,112285	-55,46	0,268204	-55,36	-0,203563	-55,46	-0,774216	-55,46	-0,799088
-55,36	0,41985	-55,26	0,352604	-55,3599	0,0972934	-55,2599	0,100449	-55,36	0,0769238	-55,26	0,0425453	-55,26	0,0577126	-55,26	-0,0432701	-55,2599	-0,0966644	-55,2599	-0,0893402	-55,36	-0,205516	-55,26	-0,205227	-55,36	-0,324901	-55,36	-0,366161
-55,2599	0,427933	-55,16	1,01469	-55,2599	0,0789642	-55,16	0,732468	-55,2599	0,0901031	-55,16	0,69017	-55,16	0,660416	-55,16	-0,0452423	-55,16	-0,100571	-55,16	-0,0678558	-55,2599	-0,198196	-55,16	-0,203293	-55,2599	-0,325394	-55,2599	-0,367844
-55,16	1,05605	-55,06	0,331513	-55,16	0,075058	-55,06	0,0442209	-55,16	0,783463	-55,06	5,82981e-3	-55,06	-0,0317373	-55,06	-0,0252981	-55,06	-0,0212393	-55,06	-0,0303335	-55,16	-0,198196	-55,06	-0,194274	-55,16	-0,323441	-55,16	-0,361984
-55,0599	0,331436	-54,96	0,308224	-55,0599	0,0731049	-54,96	0,0268097	-55,0599	0,105728	-54,96	-6,88171e-3	-54,96	-0,0386083	-54,96	-0,0419159	-54,96	6,27136e-3	-54,96	-0,02742	-55,0599	-0,143509	-54,96	-0,174576	-55,0599	-0,3246	-55,0599	-0,408066
-54,96	0,302353	-54,86	0,315462	-54,96	0,0600128	-54,86	0,065279	-54,96	0,111008	-54,86	-0,0238934	-54,86	-0,062254	-54,86	-0,028471	-54,86	0,0138569	-54,86	-0,0315533	-54,96	-0,159714	-54,86	-0,147459	-54,96	-0,330673	-54,96	-0,414139
-54,86	0,304079	-54,76	0,288277	-54,8599	0,0672693	-54,7599	0,0779877	-54,86	0,140078	-54,76	-0,0198281	-54,76	-0,0546486	-54,76	-0,0540688	-54,7599	-7,79724e-3	-54,7599	-0,016098	-54,86	-0,182585	-54,76	-0,114463	-54,86	-0,348845	-54,86	-0,433104
-54,7599	0,296097	-54,66	0,27916	-54,7599	0,083847	-54,66	0,0778046	-54,7599	0,132095	-54,66	-0,0348053	-54,66	-0,0508881	-54,66	-0,0385895	-54,66	-6,02722e-3	-54,66	-0,0444183	-54,7599	-0,166763	-54,66	-0,114609	-54,7599	-0,323257	-54,7599	-0,402023
-54,66	0,288101	-54,56	0,307622	-54,66	0,0770111	-54,56	0,0847824	-54,66	0,1194	-54,56	1,46937e-3	-54,56	-0,0204728	-54,56	-0,0187333	-54,56	0,0322006	-54,56	-0,0405533	-54,66	-0,177872	-54,56	-0,0939591	-54,66	-0,353897	-54,66	-0,392441
-54,5599	0,32637	-54,46	0,298847	-54,5599	0,090683	-54,46	0,073288	-54,5599	0,117447	-54,46	8,34656e-3	-54,46	-1,90377e-3	-54,46	-0,0247345	-54,46	8,98743e-3	-54,46	-0,0453949	-54,5599	-0,150162	-54,46	-0,10936	-54,5599	-0,346878	-54,5599	-0,37175
-54,46	0,3293	-54,36	0,291446	-54,46	0,083847	-54,36	0,051029	-54,46	0,070755	-54,36	0,014591	-54,36	0,010227	-54,36	-0,0282557	-54,36	-7,4122e-3	-54,36	-0,0223658	-54,46	-0,158157	-54,36	-0,129666	-54,46	-0,348648	-54,46	-0,351242
-54,36	0,319919	-54,26	0,29886	-54,3599	0,0842562	-54,2599	0,0478973	-54,36	0,0387304	-54,26	9,49216e-3	-54,26	-2,68435e-3	-54,26	-0,0247486	-54,2599	-0,0457001	-54,2599	-0,0297699	-54,36	-0,171444	-54,26	-0,189452	-54,36	-0,351376	-54,36	-0,337185
-54,2599	0,297256	-54,16	0,276993	-54,2599	0,0818939	-54,16	2,59399e-4	-54,2599	-9,32312e-3	-54,16	-0,0342255	-54,16	-0,0210114	-54,16	-0,0184784	-54,16	-0,0785065	-54,16	-0,0625763	-54,2599	-0,213638	-54,16	-0,210526	-54,2599	-0,359573	-54,2599	-0,353195
-54,16	0,241806	-54,06	0,256431	-54,16	0,108841	-54,06	4,29463e-3	-54,16	-0,0628204	-54,06	-0,0204246	-54,06	-0,0404136	-54,06	8,99434e-3	-54,06	-0,0611656	-54,06	-0,0878379	-54,16	-0,198776	-54,06	-0,225228	-54,16	-0,365036	-54,16	-0,357498
-54,0599	0,243942	-53,96	0,260137	-54,0599	0,130142	-53,96	0,0549469	-54,0599	-0,0606842	-53,96	-0,0127411	-53,96	-0,0210824	-53,96	0,034256	-53,96	-0,0562286	-53,96	-0,0848541	-54,0599	-0,186081	-53,96	-0,198013	-54,0599	-0,386337	-54,0599	-0,366287
-53,96	0,267197	-53,86	0,262706	-53,96	0,169388	-53,86	0,0672102	-53,96	-9,2926e-3	-53,86	2,26879e-3	-53,86	-8,74805e-3	-53,86	0,0367537	-53,86	-0,0595903	-53,86	-0,081563	-53,96	-0,181992	-53,86	-0,161519	-53,96	-0,372849	-53,96	-0,356705
-53,86	0,273601	-53,76	0,265239	-53,8599	0,141478	-53,7599	0,0647125	-53,86	0,0353804	-53,76	0,0215869	-53,76	3,55101e-3	-53,76	0,0666308	-53,7599	-0,0609283	-53,7599	-0,0801544	-53,86	-0,198232	-53,76	-0,130482	-53,86	-0,352773	-53,86	-0,336629
