Cycle: 15  SMARTA2-9V  98 nM_X	Cycle: 15  SMARTA2-9V  98 nM_Y	Cycle: 16  SMARTA2-9V  195 nM_X	Cycle: 16  SMARTA2-9V  195 nM_Y	Cycle: 17  SMARTA2-9V  390 nM_X	Cycle: 17  SMARTA2-9V  390 nM_Y	Cycle: 18  SMARTA2-9V  780 nM_X	Cycle: 18  SMARTA2-9V  780 nM_Y	Cycle: 19  SMARTA2-9V  1560 nM_X	Cycle: 19  SMARTA2-9V  1560 nM_Y	Cycle: 20  SMARTA2-9V  3125 nM_X	Cycle: 20  SMARTA2-9V  3125 nM_Y	Cycle: 21  SMARTA2-9V  6250 nM_X	Cycle: 21  SMARTA2-9V  6250 nM_Y	Cycle: 22  SMARTA2-9V  12500 nM_X	Cycle: 22  SMARTA2-9V  12500 nM_Y	Cycle: 23  SMARTA2-9V  25000 nM_X	Cycle: 23  SMARTA2-9V  25000 nM_Y	Cycle: 24  SMARTA2-9V  50000 nM_X	Cycle: 24  SMARTA2-9V  50000 nM_Y	Cycle: 25  SMARTA2-9V  100000 nM_X	Cycle: 25  SMARTA2-9V  100000 nM_Y
-52,96	0,234619	-53,0599	0,400513	-53,0599	0,395508	-53,0599	0,338867	-52,96	0,24292	-53,0599	0,0979004	-53,0599	-0,0532227	-52,96	-0,266731	-53,0599	-0,470398	-53,0599	-0,537048	-52,96	-0,739204
-52,86	0,234619	-52,96	0,39856	-52,96	0,422852	-52,96	0,333008	-52,86	0,246826	-52,96	0,0861816	-52,96	-0,0473633	-52,86	-0,262756	-52,96	-0,456726	-52,96	-0,520264	-52,86	-0,739136
-52,76	0,248226	-52,86	0,390747	-52,86	0,428711	-52,8599	0,333073	-52,7599	0,24292	-52,8599	0,062809	-52,86	-0,0395508	-52,76	-0,266727	-52,8599	-0,460567	-52,8599	-0,520199	-52,76	-0,739201
-52,66	0,244385	-52,7599	0,384888	-52,7599	0,411133	-52,7599	0,338867	-52,66	0,256592	-52,7599	0,0510254	-52,7599	-0,0239258	-52,66	-0,262756	-52,7599	-0,460632	-52,7599	-0,52417	-52,66	-0,715698
-52,56	0,232594	-52,66	0,400513	-52,66	0,389648	-52,66	0,343567	-52,56	0,266285	-52,66	0,0510254	-52,66	-0,0141602	-52,56	-0,243298	-52,66	-0,456726	-52,66	-0,530029	-52,56	-0,69038
-52,46	0,235413	-52,5599	0,421997	-52,5599	0,381836	-52,5599	0,374023	-52,46	0,264404	-52,5599	0,0666504	-52,5599	-0,0102539	-52,46	-0,270634	-52,5599	-0,450867	-52,5599	-0,500732	-52,46	-0,709904
-52,36	0,246338	-52,46	0,425903	-52,46	0,379883	-52,46	0,379883	-52,36	0,278076	-52,46	0,0627441	-52,46	-0,0180664	-52,36	-0,292053	-52,46	-0,454773	-52,46	-0,518311	-52,36	-0,709839
-52,26	0,259941	-52,36	0,42981	-52,36	0,385742	-52,3599	0,379951	-52,2599	0,287842	-52,3599	0,0772781	-52,36	-2,44141e-3	-52,26	-0,301888	-52,3599	-0,474236	-52,3599	-0,514336	-52,26	-0,707954
-52,16	0,269775	-52,2599	0,439575	-52,2599	0,389648	-52,2599	0,370117	-52,16	0,31012	-52,2599	0,0939941	-52,2599	-3,60107e-3	-52,16	-0,294006	-52,2599	-0,448914	-52,2599	-0,500732	-52,16	-0,692261
-52,06	0,302895	-52,16	0,439575	-52,16	0,383789	-52,16	0,383789	-52,06	0,337746	-52,16	0,116638	-52,16	0,0151367	-52,06	-0,270653	-52,16	-0,443054	-52,16	-0,471436	-52,06	-0,672813
-51,96	0,289307	-52,0599	0,470825	-52,0599	0,395508	-52,0599	0,385742	-51,96	0,321045	-52,0599	0,133057	-52,0599	0,0444336	-51,96	-0,272587	-52,0599	-0,413757	-52,0599	-0,447998	-51,96	-0,685673
-51,86	0,275635	-51,96	0,449341	-51,96	0,399414	-51,96	0,393555	-51,86	0,347229	-51,96	0,151428	-51,96	0,0327148	-51,86	-0,258057	-51,96	-0,409851	-51,96	-0,46167	-51,86	-0,659058
-51,76	0,27166	-51,86	0,459106	-51,86	0,399414	-51,8599	0,424873	-51,7599	0,356201	-51,8599	0,168282	-51,86	0,019043	-51,76	-0,245247	-51,8599	-0,401176	-51,8599	-0,445976	-51,76	-0,647408
-51,66	0,256104	-51,7599	0,459106	-51,7599	0,409973	-51,7599	0,420898	-51,66	0,360107	-51,7599	0,189697	-51,7599	6,53076e-3	-51,66	-0,249084	-51,7599	-0,378601	-51,7599	-0,433533	-51,66	-0,668823
-51,56	0,267754	-51,66	0,449341	-51,66	0,420898	-51,66	0,399414	-51,56	0,373711	-51,66	0,177979	-51,66	-0,0219727	-51,56	-0,251106	-51,66	-0,413757	-51,66	-0,447998	-51,56	-0,663033
-51,46	0,269775	-51,5599	0,439575	-51,5599	0,422852	-51,5599	0,411133	-51,46	0,373779	-51,5599	0,183838	-51,5599	-0,027832	-51,46	-0,245247	-51,5599	-0,394226	-51,5599	-0,428467	-51,46	-0,668892
-51,36	0,270935	-51,46	0,443481	-51,46	0,424805	-51,46	0,393555	-51,36	0,367126	-51,46	0,181885	-51,46	-0,0328979	-51,36	-0,236206	-51,46	-0,388367	-51,46	-0,442139	-51,36	-0,669617
-51,26	0,257992	-51,36	0,42511	-51,36	0,410339	-51,3599	0,385014	-51,2599	0,352295	-51,3599	0,173344	-51,36	-0,0266724	-51,26	-0,233524	-51,3599	-0,41058	-51,3599	-0,454586	-51,26	-0,668888
-51,16	0,273682	-51,2599	0,39856	-51,2599	0,415039	-51,2599	0,383789	-51,16	0,365967	-51,2599	0,1604	-51,2599	-0,043457	-51,16	-0,223694	-51,2599	-0,400085	-51,2599	-0,449951	-51,16	-0,645386
-51,06	0,267769	-51,16	0,408325	-51,16	0,438477	-51,16	0,416992	-51,06	0,356148	-51,16	0,185791	-51,16	-0,0336914	-51,06	-0,217888	-51,16	-0,396179	-51,16	-0,455811	-51,06	-0,651299
-50,96	0,269775	-51,0599	0,408325	-51,0599	0,432617	-51,0599	0,411133	-50,96	0,346436	-51,0599	0,170166	-51,0599	-0,0239258	-50,96	-0,217899	-51,0599	-0,39032	-51,0599	-0,471436	-50,96	-0,641544
-50,86	0,264709	-50,96	0,3927	-50,96	0,444336	-50,96	0,413086	-50,86	0,322998	-50,96	0,186584	-50,96	-0,0239258	-50,86	-0,2276	-50,96	-0,392273	-50,96	-0,465576	-50,86	-0,649292
-50,76	0,265804	-50,86	0,389587	-50,86	0,405273	-50,8599	0,382694	-50,7599	0,311279	-50,8599	0,154606	-50,86	-0,0375977	-50,76	-0,233524	-50,8599	-0,423458	-50,8599	-0,475277	-50,76	-0,661076
