Cycle: 3  SMARTA2-9C  195 nM_X	Cycle: 3  SMARTA2-9C  195 nM_Y	Cycle: 4  SMARTA2-9C  390 nM_X	Cycle: 4  SMARTA2-9C  390 nM_Y	Cycle: 5  SMARTA2-9C  780 nM_X	Cycle: 5  SMARTA2-9C  780 nM_Y	Cycle: 6  SMARTA2-9C  1560 nM_X	Cycle: 6  SMARTA2-9C  1560 nM_Y	Cycle: 7  SMARTA2-9C  3125 nM_X	Cycle: 7  SMARTA2-9C  3125 nM_Y	Cycle: 8  SMARTA2-9C  6250 nM_X	Cycle: 8  SMARTA2-9C  6250 nM_Y	Cycle: 9  SMARTA2-9C  12500 nM_X	Cycle: 9  SMARTA2-9C  12500 nM_Y	Cycle: 10  SMARTA2-9C  25000 nM_X	Cycle: 10  SMARTA2-9C  25000 nM_Y	Cycle: 11  SMARTA2-9C  50000 nM_X	Cycle: 11  SMARTA2-9C  50000 nM_Y	Cycle: 12  SMARTA2-9C  100000 nM_X	Cycle: 12  SMARTA2-9C  100000 nM_Y
-50,66	-0,202301	-50,66	-0,157623	-50,56	-0,0681496	-50,56	-0,186863	-50,66	-0,153961	-50,66	-0,0732117	-50,56	-0,0496559	-50,66	-0,0740051	-50,66	-0,124054	-50,66	-0,123932
-50,56	-0,217564	-50,56	-0,165073	-50,46	-0,0672035	-50,46	-0,207401	-50,56	-0,147739	-50,56	-0,0748024	-50,46	-0,0721474	-50,5599	-0,0727844	-50,5599	-0,123627	-50,5599	-0,127411
-50,46	-0,212646	-50,46	-0,1875	-50,36	-0,0749855	-50,36	-0,224949	-50,46	-0,163513	-50,46	-0,0874634	-50,36	-0,07407	-50,46	-0,0648193	-50,46	-0,124634	-50,46	-0,140137
-50,36	-0,226353	-50,36	-0,189487	-50,26	-0,0945168	-50,26	-0,234715	-50,36	-0,187778	-50,36	-0,0796852	-50,26	-0,0877419	-50,3599	-0,0511131	-50,36	-0,126621	-50,3599	-0,142056
-50,2599	-0,219627	-50,26	-0,199253	-50,16	-0,0829468	-50,16	-0,203613	-50,26	-0,217075	-50,2599	-0,0776596	-50,16	-0,0847778	-50,2599	-0,0589218	-50,2599	-0,11013	-50,2599	-0,130333
-50,16	-0,196045	-50,16	-0,19043	-50,06	-0,0974464	-50,06	-0,218113	-50,16	-0,214111	-50,16	-0,0806274	-50,06	-0,098484	-50,16	-0,0618896	-50,16	-0,0904541	-50,16	-0,0844727
-50,06	-0,203892	-50,06	-0,19437	-49,96	-0,0877304	-49,96	-0,216209	-50,06	-0,223911	-50,06	-0,0993996	-49,96	-0,0711899	-50,0599	-0,0696526	-50,0599	-0,10017	-50,0599	-0,0824699
-49,96	-0,178467	-49,96	-0,176758	-49,86	-0,0796928	-49,86	-0,180828	-49,96	-0,227783	-49,96	-0,0806274	-49,86	-0,0651054	-49,96	-0,0579834	-49,96	-0,0709229	-49,96	-0,059082
-49,86	-0,156841	-49,86	-0,164898	-49,76	-0,125763	-49,76	-0,215179	-49,86	-0,200298	-49,86	-0,0707207	-49,76	-0,0896912	-49,8599	-0,053875	-49,86	-0,043438	-49,8599	-0,0639458
-49,7599	-0,16573	-49,76	-0,175812	-49,66	-0,11792	-49,66	-0,197571	-49,76	-0,205353	-49,7599	-0,0835152	-49,66	-0,0654297	-49,7599	-0,0424995	-49,7599	-0,0515327	-49,7599	-0,0717354
